Time;Temp;Luftfuktighet;Lutftryck;Vikt
2022-07-11 06:00:00.000;17,031929;48,729666;929,5445;116,721333
2022-07-11 07:00:00.000;22,112413;48,851333;933,707833;115,948813
2022-07-11 08:00:00.000;21,312203;49,1455;941,224;115,431
2022-07-11 09:00:00.000;21,978275;49,357833;946,466166;114,841333
2022-07-11 10:00:00.000;26,509137;49,722333;956,689666;114,18305
2022-07-11 11:00:00.000;29,107241;50,052166;965,392833;113,958666
2022-07-11 12:00:00.000;26,015344;50,071333;967,1535;113,987796
2022-07-11 13:00:00.000;24,175517;49,958333;966,247666;113,895333
2022-07-11 14:00:00.000;24,101206;49,8205;965,140166;113,260833
2022-07-11 15:00:00.000;23,48931;50,288474;959,149661;113,302881
2022-07-11 16:00:00.000;22,890862;49,618833;963,255666;113,53305
2022-07-11 17:00:00.000;22,26931;49,492833;961,7465;114,015666
2022-07-11 18:00:00.000;21,448245;49,405;959,5705;114,44983
2022-07-11 19:00:00.000;20,908448;49,335333;957,212666;114,458833
2022-07-11 20:00:00.000;20,373448;49,281694;955,519661;114,591333
2022-07-11 21:00:00.000;20,277241;49,172333;952,645833;114,736271
2022-07-11 22:00:00.000;19,937241;49,105666;951,632666;115,009166
2022-07-11 23:00:00.000;19,263965;49,012;949,092833;115,635932
2022-07-12 00:00:00.000;18,481551;48,882333;945,933;115,778
2022-07-12 01:00:00.000;17,58362;48,717;943,0045;115,832333
2022-07-12 02:00:00.000;16,987586;48,512333;940,271166;115,789322
2022-07-12 03:00:00.000;16,625;48,3105;937,942666;116,026166
2022-07-12 04:00:00.000;16,277586;48,104745;935,727457;116,197796
2022-07-12 05:00:00.000;15,705;48,002666;935,719833;115,332
2022-07-12 06:00:00.000;18,915862;47,909166;935,212166;115,026101
2022-07-12 07:00:00.000;24,493793;48,0195;940,5495;114,506333
2022-07-12 08:00:00.000;23,762068;48,317166;949,0905;114,461
2022-07-12 09:00:00.000;24,327413;48,494166;953,382166;114,519
2022-07-12 10:00:00.000;29,662241;48,804;963,207333;114,165423
2022-07-12 11:00:00.000;31,930517;49,111666;972,375833;113,681666
2022-07-12 12:00:00.000;28,409137;49,067666;972,51;113,567627
2022-07-12 13:00:00.000;26,529655;48,775833;970,6365;112,964333
2022-07-12 14:00:00.000;26,608793;48,577833;971,0785;112,287457
2022-07-12 15:00:00.000;25,92431;48,364915;969,399491;112,861
2022-07-12 16:00:00.000;25,51035;48,144666;967,956833;113,11661
2022-07-13 08:00:00.000;22,571896;46,468833;947,182;116,7385
2022-07-13 09:00:00.000;24,119655;46,732833;953,114833;117,155333
2022-07-13 10:00:00.000;26,046034;47,0855;959,569;118,082033
2022-07-13 11:00:00.000;29,871206;47,385833;965,236;118,2075
2022-07-13 12:00:00.000;28,337068;47,523166;966,9815;118,370847
2022-07-13 13:00:00.000;26,90862;47,457333;966,368166;118,495166
2022-07-13 14:00:00.000;26,497068;47,331666;965,3235;118,459833
2022-07-13 15:00:00.000;25,835;47,269491;966,594915;118,276101
2022-07-13 16:00:00.000;25,302241;47,210333;966,358333;118,5185
2022-07-13 17:00:00.000;24,405;47,078;964,633833;118,978644
2022-07-13 18:00:00.000;23,615517;46,893166;961,275833;119,621333
2022-07-13 19:00:00.000;22,697241;46,760166;960,083;119,645254
2022-07-13 20:00:00.000;21,491379;46,568333;955,1535;119,751166
2022-07-13 21:00:00.000;19,996551;46,340333;951,782333;120,110833
2022-07-13 22:00:00.000;18,812413;46,103166;947,397166;120,588135
2022-07-13 23:00:00.000;17,926551;45,8995;944,363833;120,664333
2022-07-14 00:00:00.000;16,961896;45,703559;941,012372;120,502881
2022-07-14 01:00:00.000;16,079827;45,497166;937,802666;120,576333
2022-07-14 02:00:00.000;15,480344;45,315;935,067;120,906666
2022-07-14 03:00:00.000;15,099482;45,1135;932,016833;121,242881
2022-07-14 04:00:00.000;14,705172;44,9485;929,719333;121,642666
2022-07-14 05:00:00.000;14,493965;44,853833;929,120333;121,93322
2022-07-14 06:00:00.000;15,92431;44,824833;929,353833;121,520833
2022-07-14 07:00:00.000;17,381724;44,8845;930,816333;120,895084
2022-07-14 08:00:00.000;19,000689;45,001666;932,988166;120,161666
2022-07-14 09:00:00.000;18,816379;45,162333;935,905166;120,231
2022-07-14 10:00:00.000;21,61862;45,401333;939,940833;120,265593
2022-07-14 11:00:00.000;22,995;45,750833;945,543166;120,380333
2022-07-14 12:00:00.000;20,741896;45,942666;945,7855;120,980338
2022-07-14 13:00:00.000;20,686724;46,045666;944,928333;121,177
2022-07-14 14:00:00.000;21,201379;46,149666;944,861166;120,323389
2022-07-14 15:00:00.000;20,214655;46,238474;944,429491;120,570333
2022-07-14 16:00:00.000;19,756724;46,284;943,589;120,776333
2022-07-14 17:00:00.000;19,271034;46,331333;943,003;120,888983
2022-07-14 18:00:00.000;18,972068;46,318666;941,528833;121,122166
2022-07-14 19:00:00.000;18,758103;46,303666;940,649666;121,13322
2022-07-14 20:00:00.000;17,973965;46,33;940,648666;121,3295
2022-07-14 21:00:00.000;17,307241;46,377833;940,346333;121,635593
2022-07-14 22:00:00.000;16,195172;46,375833;938,535333;121,8285
2022-07-14 23:00:00.000;15,511206;46,375593;936,603389;122,347166
2022-07-15 00:00:00.000;14,956034;46,335166;933,779833;122,611016
2022-07-15 01:00:00.000;14,44362;46,213333;929,704;122,909666
2022-07-15 02:00:00.000;13,931607;46,741186;922,533898;123,20862
2022-07-15 03:00:00.000;13,764482;45,975333;925,274666;123,32
2022-07-15 04:00:00.000;13,720689;45,869661;924,233728;123,422166
2022-07-15 05:00:00.000;13,59;45,789166;923,7795;123,249322
2022-07-15 06:00:00.000;15,727413;45,756;924,093833;122,686333
2022-07-15 07:00:00.000;18,304482;45,839;926,827333;122,450847
2022-07-15 08:00:00.000;18,202068;45,995833;930,380166;121,8155
2022-07-15 09:00:00.000;19,002241;46,1945;934,609333;121,384666
2022-07-15 10:00:00.000;23,910517;46,576;942,5085;120,30661
2022-07-15 11:00:00.000;26,785172;47,073166;952,287;119,858833
2022-07-15 12:00:00.000;24,50362;47,389666;955,251833;119,959491
2022-07-15 13:00:00.000;22,817931;47,5065;953,740666;119,739
2022-07-15 14:00:00.000;22,926551;47,584666;953,244;119,026779
2022-07-15 15:00:00.000;21,800517;47,682881;953,428474;119,084
2022-07-15 16:00:00.000;21,522413;47,704833;952,3055;119,285166
2022-07-15 17:00:00.000;21,025;47,709833;951,265166;119,571186
2022-07-15 18:00:00.000;20,378965;47,661;949,528166;119,939
2022-07-15 19:00:00.000;19,884482;47,604666;948,658666;120,141355
